Date,CityName,StateName,MedianSalePrice,Year,SalesTotal,Total Population,Median Income,MORTGAGE30US,Unemployment Rate,HAI
2009-04-30,New York,NY,339000.0,2009.0,6974.0,,50173.0,4.78,,73.63054700430358
2009-04-30,Los Angeles,CA,320000.0,2009.0,8168.0,,48570.0,4.78,,75.51022782744637
2009-04-30,Chicago,IL,192000.0,2009.0,5582.0,,46781.0,4.78,,121.21487777076968
2009-04-30,Dallas,TX,140000.0,2009.0,4811.0,,41266.0,4.78,,146.63984524379669
2009-04-30,Houston,TX,145000.0,2009.0,3841.0,,42797.0,4.78,,146.83614697677598
2009-04-30,Philadelphia,PA,193800.0,2009.0,4423.0,,36669.0,4.78,,94.13105999230012
2009-04-30,Miami,FL,140450.0,2009.0,6217.0,,29812.0,4.78,,105.59832378504927
2009-04-30,Atlanta,GA,120000.0,2009.0,5819.0,,50243.0,4.78,,208.29649999227993
2009-04-30,Boston,MA,285000.0,2009.0,2427.0,,52433.0,4.78,,91.52663641309731
2009-04-30,Phoenix,AZ,118000.0,2009.0,8326.0,,48881.0,4.78,,206.0846904273563
2009-04-30,San Francisco,CA,295000.0,2009.0,4798.0,,70040.0,4.78,,118.11682835892911
2009-04-30,Riverside,CA,160000.0,2009.0,7066.0,,57344.0,4.78,,178.3017708271396
2009-04-30,Detroit,MI,61616.0,2009.0,6078.0,,29447.0,4.78,,237.75803924035395
2009-04-30,Seattle,WA,287500.0,2009.0,2262.0,,58990.0,4.78,,102.077071633278
2009-04-30,Minneapolis,MN,174000.0,2009.0,3072.0,,45625.0,4.78,,130.44915932221502
2009-04-30,San Diego,CA,290000.0,2009.0,3006.0,,61962.0,4.78,,106.29555037707075
2009-04-30,Tampa,FL,123000.0,2009.0,2924.0,,43215.0,4.78,,174.7901927785378
2009-04-30,Denver,CO,188000.0,2009.0,3280.0,,45438.0,4.78,,120.2400126870543
2009-04-30,Baltimore,MD,220000.0,2009.0,2230.0,,38738.0,4.78,,87.59960935346152
2009-04-30,St. Louis,MO,130000.0,2009.0,2480.0,,34227.0,4.78,,130.98245857873684
2009-04-30,Orlando,FL,130000.0,2009.0,2284.0,,43196.0,4.78,,165.3057025379705
2009-04-30,Charlotte,NC,140000.0,2009.0,1834.0,,52364.0,4.78,,186.07688790641618
2009-04-30,San Antonio,TX,143500.0,2009.0,1246.0,,43087.0,4.78,,149.37640772051088
2009-04-30,Portland,OR,237700.0,2009.0,1687.0,,48053.0,4.78,,100.57243845357362
2009-04-30,Sacramento,CA,190000.0,2009.0,2554.0,,50381.0,4.78,,131.9170217933817
2009-04-30,Pittsburgh,PA,109961.0,2009.0,1976.0,,35732.0,4.78,,161.66138680487916
2009-04-30,Cincinnati,OH,120000.0,2009.0,1747.0,,33855.0,4.78,,140.35543274164831
2009-04-30,Austin,TX,185000.0,2009.0,1329.0,,50236.0,4.78,,135.0924191492547
2009-04-30,Las Vegas,NV,130000.0,2009.0,3913.0,,54327.0,4.78,,207.9026507496139
2009-04-30,Kansas City,MO,140000.0,2009.0,1944.0,,44436.0,4.78,,157.90452583854383
2009-04-30,Columbus,OH,119600.0,2009.0,1125.0,,43569.0,4.78,,181.23165978222718
2009-04-30,Indianapolis,IN,112000.0,2009.0,1875.0,,43351.0,4.78,,192.56118630239877
2009-04-30,Cleveland,OH,98800.0,2009.0,1411.0,,27761.0,4.78,,139.7866885870463
2009-04-30,San Jose,CA,419000.0,2009.0,1405.0,,78660.0,4.78,,93.39584904842792
2009-04-30,Virginia Beach,VA,215000.0,2009.0,1263.0,,63370.0,4.78,,146.63339931109633
2009-04-30,Providence,RI,184000.0,2009.0,974.0,,37273.0,4.78,,100.77763950953474
2009-04-30,Jacksonville,FL,155000.0,2009.0,1184.0,,48514.0,4.78,,155.71234356832971
2009-04-30,Milwaukee,WI,160000.0,2009.0,1069.0,,37089.0,4.78,,115.32216758872384
2009-04-30,Oklahoma City,OK,107000.0,2009.0,1153.0,,42181.0,4.78,,196.11948731797543
2009-04-30,Raleigh,NC,170000.0,2009.0,1008.0,,53370.0,4.78,,156.18378264581867
2009-04-30,Memphis,TN,115920.0,2009.0,1319.0,,36535.0,4.78,,156.79723309143952
2009-04-30,Richmond,VA,182000.0,2009.0,965.0,,37735.0,4.78,,103.14795492423765
2009-04-30,New Orleans,LA,152750.0,2009.0,574.0,,36258.0,4.78,,118.08922738357836
2009-04-30,Salt Lake City,UT,216590.0,2009.0,817.0,,43667.0,4.78,,100.30038736975351
2009-04-30,Hartford,CT,200000.0,2009.0,1081.0,,29190.0,4.78,,72.60921722159884
2009-04-30,Buffalo,NY,105000.0,2009.0,718.0,,30376.0,4.78,,143.92258159665158
2009-04-30,Birmingham,AL,130000.0,2009.0,1030.0,,31704.0,4.78,,121.32725236743718
2009-04-30,Rochester,NY,113050.0,2009.0,827.0,,30540.0,4.78,,134.39593142505794
2009-04-30,Grand Rapids,MI,86900.0,2009.0,1114.0,,39322.0,4.78,,225.11450431995362
2009-04-30,Tucson,AZ,162000.0,2009.0,955.0,,37635.0,4.78,,115.5751754209277
2009-04-30,Tulsa,OK,112500.0,2009.0,1009.0,,38687.0,4.78,,171.08037222196305
2009-04-30,Fresno,CA,131250.0,2009.0,895.0,,43036.0,4.78,,163.1248939055438
2009-04-30,Worcester,MA,185500.0,2009.0,562.0,,45944.0,4.78,,123.21754306173744
2009-04-30,Omaha,NE,128000.0,2009.0,831.0,,47184.0,4.78,,183.3886447297833
2009-04-30,Bridgeport,CT,365800.0,2009.0,584.0,,40530.0,4.78,,55.12144043711654
2009-04-30,Greenville,SC,120000.0,2009.0,685.0,,38209.0,4.78,,158.40616540025522
2009-04-30,Albuquerque,NM,174000.0,2009.0,624.0,,45478.0,4.78,,130.02886285272754
2009-04-30,Bakersfield,CA,110000.0,2009.0,1061.0,,51886.0,4.78,,234.6632934541641
2009-04-30,Albany,NY,170000.0,2009.0,346.0,,38642.0,4.78,,113.08326267565532
2009-04-30,Knoxville,TN,125000.0,2009.0,756.0,,32609.0,4.78,,129.78219743085256
2009-04-30,Baton Rouge,LA,159900.0,2009.0,600.0,,35436.0,4.78,,110.25134206072084
2009-04-30,McAllen,TX,162350.0,2009.0,87.0,,38675.0,4.78,,118.512916227954
2009-04-30,New Haven,CT,205000.0,2009.0,691.0,,37823.0,4.78,,91.7888158481449
2009-04-30,El Paso,TX,122750.0,2009.0,322.0,,36147.0,4.78,,146.5002661770943
2009-04-30,Allentown,PA,172000.0,2009.0,634.0,,36454.0,4.78,,105.4397573474575
2009-04-30,Oxnard,CA,348000.0,2009.0,665.0,,56618.0,4.78,,80.93995071238542
2009-04-30,Columbia,SC,124000.0,2009.0,555.0,,38588.0,4.78,,154.81685476395228
2009-04-30,North Port,FL,145000.0,2009.0,1219.0,,49465.0,4.78,,169.71399888324473
2009-04-30,Charleston,SC,179000.0,2009.0,479.0,,47799.0,4.78,,132.84751508514637
2009-04-30,Greensboro,NC,120000.0,2009.0,540.0,,41050.0,4.78,,170.18433064671876
2009-04-30,Stockton,CA,144000.0,2009.0,1127.0,,47426.0,4.78,,163.84819458488195
2009-04-30,Cape Coral,FL,90000.0,2009.0,2160.0,,53639.0,4.78,,296.50076529628416
2009-04-30,Boise City,ID,159836.0,2009.0,549.0,,50633.0,4.78,,157.59655254983454
2009-04-30,Colorado Springs,CO,169988.0,2009.0,707.0,,53359.0,4.78,,156.162615115225
2009-04-30,Little Rock,AR,140000.0,2009.0,722.0,,43160.0,4.78,,153.370225384633
2009-04-30,Lakeland,FL,89000.0,2009.0,665.0,,40343.0,4.78,,225.51001769660704
2009-04-30,Akron,OH,77000.0,2009.0,494.0,,34952.0,4.78,,225.8234104660752
2009-04-30,Des Moines,IA,129500.0,2009.0,611.0,,44022.0,4.78,,169.11715206478254
2009-04-30,Springfield,MA,170000.0,2009.0,406.0,,34113.0,4.78,,99.82944308406992
2009-04-30,Ogden,UT,179000.0,2009.0,395.0,,41125.0,4.78,,114.29850117945239
2009-04-30,Madison,WI,187500.0,2009.0,532.0,,51288.0,4.78,,136.08245866342764
2009-04-30,Deltona,FL,121100.0,2009.0,704.0,,48678.0,4.78,,199.9752455247356
2009-04-30,Syracuse,NY,112250.0,2009.0,451.0,,30031.0,4.78,,133.09786827150188
2009-04-30,Provo,UT,210000.0,2009.0,384.0,,36329.0,4.78,,86.06405495826895
2009-04-30,Toledo,OH,80000.0,2009.0,409.0,,35753.0,4.78,,222.3361890479465
2009-04-30,Wichita,KS,124906.0,2009.0,364.0,,44202.0,4.78,,176.05415330590267
2009-04-30,Durham,NC,168000.0,2009.0,415.0,,47384.0,4.78,,140.3169361991321
2009-04-30,Fort Collins,CO,209500.0,2009.0,344.0,,47843.0,4.78,,113.61143163040776
2009-12-31,New York,NY,345000.0,2009.0,11753.0,,50173.0,5.14,,69.43787672169454
2009-12-31,Los Angeles,CA,360000.0,2009.0,9558.0,,48570.0,5.14,,64.4185671448224
2009-12-31,Chicago,IL,180000.0,2009.0,7622.0,,46781.0,5.14,,124.09161991360662
2009-12-31,Dallas,TX,140000.0,2009.0,4456.0,,41266.0,5.14,,140.73748831544557
2009-12-31,Houston,TX,144000.0,2009.0,3913.0,,42797.0,5.14,,141.90454077089584
2009-12-31,Philadelphia,PA,190000.0,2009.0,4831.0,,36669.0,5.14,,92.14906298105363
2009-12-31,Miami,FL,149000.0,2009.0,7611.0,,29812.0,5.14,,95.53231502028073
2009-12-31,Atlanta,GA,121950.0,2009.0,6082.0,,50243.0,5.14,,196.71578778495598
2009-12-31,Boston,MA,300000.0,2009.0,3105.0,,52433.0,5.14,,83.45049366533594
2009-12-31,Phoenix,AZ,133500.0,2009.0,8074.0,,48881.0,5.14,,174.82529682525978
2009-12-31,San Francisco,CA,380000.0,2009.0,5050.0,,70040.0,5.14,,88.00513200786763
2009-12-31,Riverside,CA,175000.0,2009.0,6715.0,,57344.0,5.14,,156.4571420532334
2009-12-31,Detroit,MI,80000.0,2009.0,5415.0,,29447.0,5.14,,175.7504830185533
2009-12-31,Seattle,WA,287000.0,2009.0,2984.0,,58990.0,5.14,,98.13907434252415
2009-12-31,Minneapolis,MN,169000.0,2009.0,3096.0,,45625.0,5.14,,128.9025861964258
2009-12-31,San Diego,CA,325000.0,2009.0,3281.0,,61962.0,5.14,,91.03062496152387
2009-12-31,Tampa,FL,120000.0,2009.0,3470.0,,43215.0,5.14,,171.94863367285362
2009-12-31,Denver,CO,191000.0,2009.0,2948.0,,45438.0,5.14,,113.58769794268093
2009-12-31,Baltimore,MD,225000.0,2009.0,2372.0,,38738.0,5.14,,82.20535982066724
2009-12-31,St. Louis,MO,125000.0,2009.0,2156.0,,34227.0,5.14,,130.73873537734423
2009-12-31,Orlando,FL,120100.0,2009.0,3152.0,,43196.0,5.14,,171.7299260943911
2009-12-31,Charlotte,NC,145550.0,2009.0,2283.0,,52364.0,5.14,,171.77741475448713
2009-12-31,San Antonio,TX,140000.0,2009.0,1177.0,,43087.0,5.14,,146.94799978305636
2009-12-31,Portland,OR,230000.0,2009.0,1969.0,,48053.0,5.14,,99.7557936571738
2009-12-31,Sacramento,CA,210000.0,2009.0,2729.0,,50381.0,5.14,,114.54943373593214
2009-12-31,Pittsburgh,PA,100000.0,2009.0,1969.0,,35732.0,5.14,,170.60933227069503
2009-12-31,Cincinnati,OH,114900.0,2009.0,1730.0,,33855.0,5.14,,140.68514656650464
2009-12-31,Austin,TX,186450.0,2009.0,1200.0,,50236.0,5.14,,128.64654349818343
2009-12-31,Las Vegas,NV,150000.0,2009.0,5497.0,,54327.0,5.14,,172.9298330958254
2009-12-31,Kansas City,MO,131300.0,2009.0,1780.0,,44436.0,5.14,,161.5904498313672
2009-12-31,Columbus,OH,117000.0,2009.0,1397.0,,43569.0,5.14,,177.80222371725296
2009-12-31,Indianapolis,IN,114000.0,2009.0,1965.0,,43351.0,5.14,,181.56817426580383
2009-12-31,Cleveland,OH,95000.0,2009.0,1406.0,,27761.0,5.14,,139.5265830765513
2009-12-31,San Jose,CA,468000.0,2009.0,1631.0,,78660.0,5.14,,80.25157174596112
2009-12-31,Virginia Beach,VA,199643.0,2009.0,1381.0,,63370.0,5.14,,151.5566781442637
2009-12-31,Providence,RI,193000.0,2009.0,1176.0,,37273.0,5.14,,92.21095039881838
2009-12-31,Jacksonville,FL,140000.0,2009.0,1449.0,,48514.0,5.14,,165.45675636445324
2009-12-31,Milwaukee,WI,169900.0,2009.0,924.0,,37089.0,5.14,,104.2310716582978
2009-12-31,Oklahoma City,OK,86001.0,2009.0,1146.0,,42181.0,5.14,,234.18486737096376
2009-12-31,Raleigh,NC,168000.0,2009.0,1082.0,,53370.0,5.14,,151.6817668984016
2009-12-31,Memphis,TN,115000.0,2009.0,1266.0,,36535.0,5.14,,151.6899224300187
2009-12-31,Richmond,VA,175226.0,2009.0,1001.0,,37735.0,5.14,,102.8232353997181
2009-12-31,New Orleans,LA,156900.0,2009.0,548.0,,36258.0,5.14,,110.33831792100597
2009-12-31,Salt Lake City,UT,205000.0,2009.0,778.0,,43667.0,5.14,,101.70562032617399
2009-12-31,Hartford,CT,208900.0,2009.0,1324.0,,29190.0,5.14,,66.71770718022782
2009-12-31,Buffalo,NY,105000.0,2009.0,769.0,,30376.0,5.14,,138.12959644162183
2009-12-31,Birmingham,AL,144450.0,2009.0,976.0,,31704.0,5.14,,104.79534000819446
2009-12-31,Rochester,NY,108000.0,2009.0,945.0,,30540.0,5.14,,135.01770918968336
2009-12-31,Grand Rapids,MI,90750.0,2009.0,1100.0,,39322.0,5.14,,206.887581643088
2009-12-31,Tucson,AZ,166375.0,2009.0,1138.0,,37635.0,5.14,,108.00635501483258
2009-12-31,Tulsa,OK,108250.0,2009.0,853.0,,38687.0,5.14,,170.64069307219796
2009-12-31,Fresno,CA,149000.0,2009.0,800.0,,43036.0,5.14,,137.90851701371264
2009-12-31,Worcester,MA,185939.0,2009.0,726.0,,45944.0,5.14,,117.97874451124693
2009-12-31,Omaha,NE,117200.0,2009.0,605.0,,47184.0,5.14,,192.22620916893248
